Category,Control ID,Title,Description
Security,CC1.1,Integrity and Ethical Values,Management demonstrates a commitment to integrity and ethical values.
Security,CC1.2,Board Oversight,The board of directors exercises oversight responsibility for system security and compliance.
Security,CC1.3,Organizational Structure,"Management establishes structure, authority, and responsibility for internal controls."
Security,CC1.4,Commitment to Competence,"Organization attracts, develops, and retains competent individuals."
Security,CC1.5,Accountability,Individuals are held accountable for internal control responsibilities.
Security,CC2.1,Communication of Objectives,Management communicates internal control objectives to relevant parties.
Security,CC2.2,Internal Communication,"Organization internally communicates roles, policies, and procedures."
Security,CC2.3,External Communication,Organization communicates with external parties regarding incidents and compliance.
Security,CC3.1,Risk Identification,Organization identifies and assesses risks to the achievement of objectives.
Security,CC3.2,Risk Analysis,Analyzes risks as a basis for determining control activities.
Security,CC3.3,Risk Response,Develops responses to identified risks.
Security,CC3.4,Change Identification,Identifies and assesses changes that could impact internal controls.
Security,CC4.1,Monitoring,"Selects, develops, and performs ongoing or separate evaluations."
Security,CC4.2,Evaluation of Deficiencies,Evaluates and communicates internal control deficiencies timely.
Security,CC5.1,Control Activities,Selects and develops control activities that mitigate risks.
Security,CC5.2,Technology Controls,Selects and develops general control activities over technology.
Security,CC5.3,Policies and Procedures,Deploys control activities through formal policies and procedures.
Security,CC6.1,Logical Access,"Implements logical access security software, infrastructure, and procedures."
Security,CC6.2,User Authentication,Implements authentication mechanisms for authorized access.
Security,CC6.3,User Access Provisioning,"Authorizes, modifies, and removes access appropriately."
Security,CC6.4,Physical Access,Restricts physical access to systems and data centers.
Security,CC6.5,Network Security,Prevents and detects unauthorized network access.
Security,CC6.6,Access Revocation,Removes access in a timely manner upon termination.
Security,CC6.7,Encryption and Data Protection,Protects data through encryption or other means during transmission and storage.
Security,CC7.1,Operational Monitoring,Monitors system components and operations to detect anomalies.
Security,CC7.2,Incident Detection,Detects and analyzes security incidents in a timely manner.
Security,CC7.3,Incident Response,Responds to and mitigates the impact of identified incidents.
Security,CC7.4,Incident Post-Mortem,Documents root cause and lessons learned following incidents.
Security,CC8.1,Change Management,"Authorizes, tests, and documents changes to systems and software."
Security,CC8.2,Change Monitoring,Reviews emergency changes and configuration updates.
Security,CC9.1,Vendor Risk Management,Selects and monitors vendors and third parties affecting system security.
Security,CC9.2,Vendor Contracting,Includes security and compliance requirements in vendor agreements.
Security,CC9.3,Risk Mitigation,Implements control activities to mitigate risks from third-party relationships.
Availability,A1.1,Backup and Recovery,Implements procedures for data backup and system recovery.
Availability,A1.2,Availability Monitoring,Monitors system availability and performance commitments.
Availability,A1.3,Disaster Recovery Testing,Tests recovery procedures periodically and documents results.
Confidentiality,C1.1,Confidentiality Classification,Identifies and classifies confidential information.
Confidentiality,C1.2,Confidentiality Protection,Implements controls to protect confidential information from unauthorized access.
Confidentiality,C1.3,Confidentiality Disposal,Ensures proper disposal of confidential data after retention period.
Processing Integrity,PI1.1,Processing Authorization,Ensures only authorized data is processed.
Processing Integrity,PI1.2,Processing Accuracy,Implements controls to maintain accuracy and completeness of system processing.
Processing Integrity,PI1.3,Processing Timeliness,Ensures data is processed and delivered on time.
Processing Integrity,PI1.4,Processing Error Handling,Detects and corrects processing errors effectively.
Privacy,P1.1,Notice and Consent,Provides notice and obtains consent regarding personal data collection and use.
Privacy,P1.2,Data Retention,Retains personal data only as long as necessary for business or legal purposes.
Privacy,P1.3,Data Access and Correction,Provides individuals the ability to access and correct their personal data.
Privacy,P1.4,Data Disclosure,Discloses personal data only for authorized purposes.
Privacy,P1.5,Breach Notification,Notifies affected parties and regulators in case of data breaches.
